id,Phase ID,Plant phase,Phase operating status,project,project_other,parent,owner,ownership,province,country,region,status,steel_capacity,iron_capacity,process,equipment,url,lat,lng
P100000120196,S100000130287,Expansion,construction,Jiangsu Binxin Steel Group Co Ltd,江苏省镔鑫钢铁集团有限公司,Lianyungang Ganyu Zhongcheng Investment Co Ltd [87.4%]; persons [12.6%],"Jiangsu Binxin Special Steel Material Co., Ltd.",N/A,Jiangsu,China,Asia Pacific,construction,N/A,1150.0,ironmaking_BF,BF,https://www.gem.wiki/Jiangsu_Binxin_Steel_Group_Co_Ltd,35.09556,119.279989
P100000120226,S100000130324,Closure,operating pre-retirement,Fushun New Steel Co Ltd,抚顺新钢铁有限责任公司,Beijing Jianlong Investment Co Ltd [63.2%]; Fushun State-Owned Assets Management Co Ltd [29.3%]; other [7.5%],"Fushun New Steel Co., Ltd.",Partial,Liaoning,China,Asia Pacific,operating pre-retirement,N/A,3150.0,ironmaking_BF,BF,https://www.gem.wiki/Fushun_New_Steel_Co_Ltd,41.841223,123.753895
P100000120226,S100000130328,Expansion,announced,Fushun New Steel Co Ltd,抚顺新钢铁有限责任公司,Beijing Jianlong Investment Co Ltd [63.2%]; Fushun State-Owned Assets Management Co Ltd [29.3%]; other [7.5%],"Fushun New Steel Co., Ltd.",Partial,Liaoning,China,Asia Pacific,announced,N/A,2585.0,ironmaking_BF,BF,https://www.gem.wiki/Fushun_New_Steel_Co_Ltd,41.841223,123.753895
P100000120229,S100000131842,Closure,operating pre-retirement,Houying Group Haicheng Iron and Steel Co Ltd Datun Branch,后英集团海城钢铁有限公司大屯分公司,Houying Group Haicheng Iron and Steel Co Ltd [100%],"Houying Group Haicheng Iron and Steel Co., Ltd",N/A,Liaoning,China,Asia Pacific,retired,N/A,1070.0,ironmaking_BF,BF,https://www.gem.wiki/Houying_Group_Haicheng_Iron_and_Steel_Co_Ltd_Datun_Branch,40.981855,122.948643
P100000120229,S100000131842,Closure,operating pre-retirement,Houying Group Haicheng Iron and Steel Co Ltd Datun Branch,后英集团海城钢铁有限公司大屯分公司,Houying Group Haicheng Iron and Steel Co Ltd [100%],"Houying Group Haicheng Iron and Steel Co., Ltd",N/A,Liaoning,China,Asia Pacific,operating pre-retirement,N/A,1376.0,ironmaking_BF,BF,https://www.gem.wiki/Houying_Group_Haicheng_Iron_and_Steel_Co_Ltd_Datun_Branch,40.981855,122.948643
P100000120232,S100000131845,Closure,retired,Ningxia Iron and Steel (Group) Co Ltd,宁夏钢铁(集团)有限责任公司,Ningxia Haofeng Weiye Steel Co Ltd [79.0%]; persons [21.0%],"Ningxia Iron and Steel (Group) Co., Ltd.",N/A,Ningxia,China,Asia Pacific,retired,N/A,1400.0,ironmaking_BF,BF,https://www.gem.wiki/Ningxia_Iron_and_Steel_(Group)_Co_Ltd,37.503054,105.078348
P100000120234,S100000130337,Closure,operating pre-retirement,Shaanxi Longmen Steel Co Ltd,陕西龙门钢铁有限责任公司,unknown,"Shaanxi Longmen Steel Co., Ltd.",unknown,Shaanxi,China,Asia Pacific,operating pre-retirement,N/A,1180.0,ironmaking_BF,BF,https://www.gem.wiki/Shaanxi_Longmen_Steel_Co_Ltd,35.618466,110.575788
P100000120261,S100000130371,Expansion,announced,Shanxi Xintai Iron and Steel Co Ltd,山西新泰钢铁有限公司,Shanxi Antai Holding Group Co Ltd [100.0%],"Shanxi Xintai Iron and Steel Co., Ltd.",N/A,Shanxi,China,Asia Pacific,announced,N/A,1585.0,ironmaking_BF,BF,https://www.gem.wiki/Shanxi_Xintai_Iron_and_Steel_Co_Ltd,37.075017,111.985148
P100000120229,S100000131843,Expansion,construction,Houying Group Haicheng Iron and Steel Co Ltd Datun Branch,后英集团海城钢铁有限公司大屯分公司,Houying Group Haicheng Iron and Steel Co Ltd [100%],"Houying Group Haicheng Iron and Steel Co., Ltd",N/A,Liaoning,China,Asia Pacific,construction,N/A,2440.0,ironmaking_BF,BF,https://www.gem.wiki/Houying_Group_Haicheng_Iron_and_Steel_Co_Ltd_Datun_Branch,40.981855,122.948643
P100000120268,S100000131826,Closure,retired,Shanxi Gaoyi Steel Co Ltd,山西高义钢铁有限公司,Shanxi Gaoyi Steel Co Ltd [100%],"Shanxi Gaoyi Steel Co., Ltd.",N/A,Shanxi,China,Asia Pacific,retired,N/A,1460.0,ironmaking_BF,BF,https://www.gem.wiki/Shanxi_Gaoyi_Steel_Co_Ltd,35.586841,111.258436
